Timestamp,Please indicate your role within the organization:,How long have you been working in the NGS,How often do you handle sensitive NGS data that could be targeted in a cybersecurity attack,How often do you open emails from unknown senders as part of your work,Have you ever used a personal USB drive or other external storage devices to transfer NGS data,"Do you follow a process to verify the security of websites or links before accessing them, especially when related to NGS research","Have you ever shared your login credentials with a colleague, even if you believed it was for a legitimate purpose","In the event of receiving a suspicious email, what actions do you typically take (Select all that apply)",Has there been an instance where you accessed NGS data from a public Wi-Fi network,"How frequently do you engage in non-work-related activities (e.g., browsing social media, personal emails) on devices used to access NGS data systems","Do you regularly update your computer, smartphone, and other devices with the latest security patches and software updates",Have you ever fallen victim to a phishing email or scam,Are you aware of the potential cybersecurity risks associated with next-generation sequencing (NGS) technologies,Do you understand the importance of securing genomic data generated by NGS technologies to protect patient privacy and confidentiality,"Are you familiar with common cybersecurity threats and vulnerabilities that can affect NGS data, such as data breaches, ransomware attacks, unauthorized access, fishing attack,  targeted attacks on genomic data or manipulation of sequencing results",Have you implemented data backup and disaster recovery plans to ensure the resilience of NGS data in the event of cyberattacks or system failures,How often does your organization provide cybersecurity training specifically tailored to NGS operations,How confident are you in identifying a cybersecurity threat specific to NGS operations,Does your organization have clear and accessible cybersecurity policies specific to NGS operations,Have you experienced any cybersecurity incidents or breaches related to NGS data in the past,How often do you participate in cybersecurity training or awareness programs specifically tailored for NGS data security,"When handling sensitive NGS data, which of the following practices do you regularly follow (Select all that apply)",Have you or anyone in your team ever detected a potential cybersecurity threat,How confident are you in identifying a cybersecurity threat specific to NGS operations,How would you describe the overall culture of cybersecurity within your organization,How relevant do you find the cybersecurity training content to your day-to-day responsibilities,"In your opinion, what are the biggest barriers to implementing effective cybersecurity training in your organization (Select all that apply)",Have you ever received suspicious emails or messages that you suspect may target NGS data or systems,Has your organization ever experienced a cybersecurity breach that affected NGS or any other sensitive data,Do you feel that cybersecurity should be a priority in your NGS relates tasks or experiments,Do you use encryption techniques to secure NGS data during transmission and storage,Do you collaborate with cybersecurity experts or professionals to enhance the security posture of NGS systems and data,"Since the last cybersecurity training session, have you encountered situations where you applied the knowledge learned",Do you feel that the  careless behaviors could lead to potential cybersecurity risks to the sensitive and private data in NGS,"Has there been a cybersecurity incident within your organization such as hacking, password stealing etc.,  that led to changes or enhancements in the training program or policy change",Does your organization have clear and accessible cybersecurity policies specific to NGS operations or sensitive healthcare data such as DNA sequencing data,"In the last year, how often has cybersecurity been discussed in your meetings or other organizational communications",What methods does your organization use to communicate about cybersecurity issues (Select all that apply),What is your age group,Have you heard about the term Bio-Cyber Security
4/23/2024 11:48:09,IT/Cybersecurity Specialist,Less than 1 year,Monthly,Occasionally,Yes,Never,Yes,"Open the email out of curiosity, Click on links within the email to see where they lead, Download and open attachments to determine their relevance",Yes,Several times per week,"Yes, always","Yes, once","Yes, very aware","Yes, fully understand","No, not familiar","Yes, basic plans in place",Never,Somewhat confident,No,"Yes, one incident",Rarely,,No,Somewhat confident,"Varied Awareness: Awareness and practices regarding cybersecurity vary significantly between departments or teams. Some areas of the organization may prioritize it highly, while others do not.",Neutral,Lack of time or resources,Yes,Yes,Yes,"No, rarely or never","No, not collaborated",Never,Yes,No,unsure,Never,Never discussed,18-24,Yes
05/02/2024 06:38,Human Resources (HR) Professional,Less than 1 year,Weekly,Very frequently,Yes,Always,No,Open the email out of curiosity,Yes,Multiple times per day,"Yes, always","Yes, multiple times","Yes, very aware","Yes, fully understand",Somewhat familiar,"No, plans not implemented",Quarterly,Somewhat confident,Maybe,"Yes, multiple incidents","Occasionally (e.g., once a year)",Encrypting NGS data files before transferring them to external devices or networks.,Yes,Very confident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Lack of time or resources,Yes,Yes,Yes,"No, rarely or never","Yes, occasionally",Occasionally,Yes,Yes,Yes,Frequently,Email alerts,Under 18,Yes
05/02/2024 06:43,Student,3-5 years,Monthly,Occasionally,No,Often,Yes,Ignore the email but leave it in the inbox,Yes,Several times per week,"Yes, always","Yes, multiple times","Yes, very aware","Yes, fully understand","Yes, very familiar","Yes, basic plans in place",Quarterly,Somewhat unconfident,Yes,"Yes, one incident","Occasionally (e.g., once a year)",Encrypting NGS data files before transferring them to external devices or networks.,Yes,Somewhat confident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Insufficiently tailored content to specific roles or departments,Yes,No,Yes,"No, rarely or never","Yes, regularly",Occasionally,Yes,No,No,Very frequently,Email alerts,25-34,Yes
05/02/2024 07:01,Student,Less than 1 year,Weekly,Rarely,No,Often,No,Forward the email to IT or cybersecurity department,No,Never,"Yes, sometimes","No, never","Yes, very aware","Yes, fully understand","Yes, very familiar","No, plans not implemented",Bi-annually,Somewhat confident,Yes,"No, never experienced","Occasionally (e.g., once a year)","Restricting access to NGS data systems or platforms to authorized personnel only., Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.",No,Somewhat confident,"Varied Awareness: Awareness and practices regarding cybersecurity vary significantly between departments or teams. Some areas of the organization may prioritize it highly, while others do not.",Neutral,"Lack of time or resources, Training not perceived as relevant or important by employees",No,No,Yes,"No, rarely or never","Yes, occasionally",Never,Yes,Unsure,unsure,Frequently,"Email alerts, Training sessions",18-24,Yes
05/02/2024 07:18,Student,Less than 1 year,Never,Never,No,Never,No,Ignore the email but leave it in the inbox,No,Rarely,"No, rarely or never","No, never","Yes, very aware","No, not understand","No, not familiar","No, plans not implemented",Never,Somewhat confident,Maybe,"No, never experienced",Never,I do not consider any above practice,No,Somewhat unconfident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Lack of management support or prioritization,No,No,Maybe,"No, rarely or never","Yes, regularly",Never,Yes,Unsure,unsure,Never,Never discussed,18-24,Yes
05/02/2024 07:19,Student,Less than 1 year,Never,Rarely,No,Often,Maybe,Click on links within the email to see where they lead,No,Once per day,"Yes, always","No, never","Yes, very aware",Partially understand,"No, not familiar","No, plans not implemented",Never,Somewhat confident,No,"No, never experienced",Never,Encrypting NGS data files before transferring them to external devices or networks.,No,Somewhat confident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Lack of management support or prioritization,Maybe,No,Yes,"No, rarely or never","No, not collaborated",Never,Yes,Unsure,No,Never,Email alerts,18-24,Maybe
05/02/2024 07:19,IT/Cybersecurity Specialist,Less than 1 year,Never,Never,No,Rarely,No,Ignore the email but leave it in the inbox,No,Rarely,"Yes, sometimes","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Annually,Somewhat confident,Yes,"No, never experienced",Never,Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.,No,Somewhat confident,"Reactive: Cybersecurity becomes a priority only after an incident has occurred. While there are some guidelines, they are not thoroughly enforced or followed until a problem arises.",Neutral,Lack of time or resources,Maybe,No,Yes,"No, rarely or never","Yes, occasionally",Occasionally,Yes,No,unsure,Rarely,Never discussed,18-24,No
05/02/2024 07:25,Student,Less than 1 year,Never,Never,No,Rarely,No,Delete the email without opening it,Maybe,Never,"Yes, sometimes","Yes, once","Yes, very aware","Yes, fully understand","Yes, very familiar","Yes, basic plans in place",Annually,Somewhat unconfident,No,"Yes, one incident",Rarely,I do not consider any above practice,No,Very unconfident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Lack of time or resources,No,No,Yes,"No, rarely or never","Yes, occasionally",Occasionally,No,No,unsure,Frequently,Never discussed,18-24,Maybe
05/02/2024 07:27,IT/Cybersecurity Specialist,Less than 1 year,Monthly,Occasionally,Maybe,sometimes,Maybe,Forward the email to IT or cybersecurity department,Yes,Once per day,"Yes, always","Yes, once","Yes, very aware",Partially understand,Somewhat familiar,"Yes, basic plans in place",Quarterly,Somewhat confident,Yes,"Yes, multiple incidents","Occasionally (e.g., once a year)",Using secure and password-protected networks for accessing and transferring NGS data.,Yes,Somewhat confident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Lack of time or resources,No,Yes,Maybe,"No, rarely or never","Yes, regularly",Frequently,Yes,Yes,No,Frequently,Internal website or dashboard,18-24,Yes
05/02/2024 07:28,Student,Less than 1 year,Monthly,Frequently,Maybe,Always,No,Click on links within the email to see where they lead,Maybe,Rarely,"Yes, always","No, never","Yes, very aware","Yes, fully understand",Somewhat familiar,"No, plans not implemented",Monthly,Somewhat confident,Maybe,"No, never experienced",Never,Implementing multi-factor authentication for accessing NGS data systems or platforms.,No,Somewhat confident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Insufficiently tailored content to specific roles or departments,No,No,Maybe,"No, rarely or never","No, not collaborated",Frequently,No,Yes,unsure,Rarely,Training sessions,18-24,Yes
05/02/2024 07:31,Student,Less than 1 year,Monthly,Frequently,Maybe,Always,No,Ignore the email but leave it in the inbox,Maybe,Rarely,"Yes, always","No, never","Yes, very aware",Partially understand,"No, not familiar","Yes, basic plans in place",Bi-annually,Somewhat confident,Maybe,"No, never experienced",Never,Using secure and password-protected networks for accessing and transferring NGS data.,Maybe,Somewhat unconfident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Lack of time or resources,Maybe,Maybe,Maybe,"No, rarely or never","Yes, regularly",Frequently,Maybe,Unsure,unsure,Frequently,Meetings or briefings,18-24,Maybe
05/02/2024 07:31,Student,Less than 1 year,Never,Rarely,No,Rarely,No,Click on links within the email to see where they lead,Maybe,Several times per week,"No, rarely or never","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Bi-annually,Somewhat confident,Maybe,"No, never experienced",Rarely,I do not consider any above practice,Maybe,Somewhat confident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Lack of time or resources,Maybe,Maybe,Yes,"No, rarely or never","Yes, occasionally",Rarely,Maybe,Unsure,may be,Frequently,Training sessions,18-24,Maybe
05/02/2024 07:35,Student,Less than 1 year,Never,Rarely,No,Never,No,Ignore the email but leave it in the inbox,No,Never,"Yes, always","No, never","Yes, very aware","No, not understand","No, not familiar","No, plans not implemented",Never,Somewhat unconfident,No,"No, never experienced",Never,"I do not consider any above practice, ",Maybe,Somewhat unconfident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,"Lack of management support or prioritization, Training not perceived as relevant or important by employees",No,No,Yes,"No, rarely or never","No, not collaborated",Never,Yes,Unsure,unsure,Never,Never discussed,18-24,No
05/02/2024 07:39,Student,Less than 1 year,Never,Rarely,No,Rarely,Yes,Open the email out of curiosity,Yes,Never,"Yes, sometimes","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Never,Very confident,Maybe,"No, never experienced",Never,"I do not consider any above practice, ",No,Somewhat confident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Lack of management support or prioritization,Yes,Maybe,Yes,"No, rarely or never","No, not collaborated",Never,Yes,Yes,Yes,Rarely,Email alerts,18-24,Yes
05/02/2024 07:39,Student,Less than 1 year,Weekly,Occasionally,No,Never,No,Download and open attachments to determine their relevance,No,Multiple times per day,"Yes, always","No, never","Yes, very aware","Yes, fully understand","No, not familiar","No, plans not implemented",Annually,Somewhat unconfident,No,"No, never experienced",Never,I do not consider any above practice,No,Somewhat unconfident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Lack of time or resources,No,No,Yes,"No, rarely or never","Yes, occasionally",Rarely,No,No,No,Never,Never discussed,18-24,No
05/02/2024 07:44,Student,Less than 1 year,Daily,Never,No,Rarely,No,Forward the email to IT or cybersecurity department,Maybe,Never,"Yes, sometimes","No, never","Yes, very aware","Yes, fully understand","Yes, very familiar","No, plans not implemented",Monthly,Somewhat confident,Yes,"No, never experienced","Regularly (e.g., quarterly)",Implementing multi-factor authentication for accessing NGS data systems or platforms.,No,Somewhat confident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Lack of management support or prioritization,No,No,Yes,"No, rarely or never","Yes, regularly",Frequently,Yes,No,Yes,Frequently,Meetings or briefings,18-24,Yes
05/02/2024 07:49,Student,Less than 1 year,Never,Never,Maybe,Always,No,Ignore the email but leave it in the inbox,No,Rarely,"Yes, sometimes","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Never,Somewhat confident,Maybe,"No, never experienced",Never,"I do not consider any above practice, ",No,Somewhat confident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Lack of management support or prioritization,No,No,,"No, rarely or never","No, not collaborated",Never,Yes,Unsure,unsure,Rarely,Never discussed,18-24,Yes
05/02/2024 07:50,Student,Less than 1 year,Never,Never,No,Never,No,Click on links within the email to see where they lead,No,Never,"Yes, sometimes","No, never","Yes, very aware","No, not understand",Somewhat familiar,"No, plans not implemented",Never,Somewhat unconfident,Maybe,"No, never experienced",Never,Implementing multi-factor authentication for accessing NGS data systems or platforms.,No,Somewhat unconfident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Lack of management support or prioritization,Maybe,No,Yes,"No, rarely or never","Yes, occasionally",Rarely,Yes,Unsure,No,Rarely,Email alerts,18-24,Yes
05/02/2024 07:50,Student,Less than 1 year,Never,Never,No,Never,No,Delete the email without opening it,No,Never,"Yes, sometimes","No, never","Yes, very aware","No, not understand","No, not familiar","No, plans not implemented",Never,Somewhat unconfident,Maybe,"No, never experienced",Never,Using secure and password-protected networks for accessing and transferring NGS data.,No,Somewhat unconfident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Training not perceived as relevant or important by employees,Maybe,Maybe,Yes,"No, rarely or never","No, not collaborated",Never,Yes,Unsure,may be,Rarely,Never discussed,18-24,Maybe
05/02/2024 07:56,Student,3-5 years,Weekly,Never,Maybe,Always,Yes,Ignore the email but leave it in the inbox,No,Once per day,"Yes, sometimes","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Never,Very confident,Yes,"No, never experienced",Rarely,"I do not consider any above practice, ",No,Very confident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Training not perceived as relevant or important by employees,No,Yes,Maybe,"No, rarely or never","No, not collaborated",Never,No,No,unsure,Very frequently,Never discussed,18-24,Yes
05/02/2024 07:59,Student,Less than 1 year,Never,Occasionally,Yes,Often,No,"Open the email out of curiosity, Forward the email to IT or cybersecurity department",No,Never,"Yes, sometimes","No, never","Yes, very aware","Yes, fully understand",Somewhat familiar,"No, plans not implemented",Annually,Somewhat confident,Maybe,"No, never experienced",Never,Encrypting NGS data files before transferring them to external devices or networks.,No,Somewhat confident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Lack of time or resources,No,No,Maybe,"No, rarely or never","No, not collaborated",Never,Maybe,Unsure,may be,Never,Email alerts,18-24,Maybe
05/02/2024 08:01,Student,Less than 1 year,Never,Rarely,Maybe,Always,No,Ignore the email but leave it in the inbox,No,Never,"No, rarely or never","No, never","Yes, very aware",Partially understand,"No, not familiar","No, plans not implemented",Never,Somewhat unconfident,Maybe,"No, never experienced",Never,"I do not consider any above practice, ",No,Somewhat unconfident,"Uncertain/Not Applicable: I am uncertain about the cybersecurity culture in our organization, or this question does not apply to my role/experience.",Neutral,Lack of management support or prioritization,No,Maybe,No,"No, rarely or never","No, not collaborated",Occasionally,Maybe,No,may be,Rarely,Email alerts,18-24,Yes
05/02/2024 08:10,Student,Less than 1 year,Never,Rarely,No,Never,No,Ignore the email but leave it in the inbox,No,Rarely,"Yes, sometimes","No, never","Yes, very aware","No, not understand","No, not familiar","No, plans not implemented",Never,Very unconfident,No,"No, never experienced",Never,I do not consider any above practice,No,Somewhat unconfident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,"Lack of time or resources, Insufficiently tailored content to specific roles or departments, Lack of management support or prioritization, Training not perceived as relevant or important by employees",No,No,No,"No, rarely or never","No, not collaborated",Rarely,Maybe,Unsure,may be,Rarely,"Meetings or briefings, Never discussed",18-24,Maybe
05/02/2024 08:34,Student,Less than 1 year,Weekly,Never,Yes,Always,No,Forward the email to IT or cybersecurity department,No,Rarely,"Yes, sometimes","No, never","Yes, very aware","Yes, fully understand",Somewhat familiar,"No, plans not implemented",Never,Somewhat confident,Maybe,"No, never experienced",Never,Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.,No,Somewhat confident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Lack of time or resources,No,No,Yes,"No, rarely or never","Yes, occasionally",Rarely,Yes,No,may be,Rarely,Training sessions,18-24,Yes
05/02/2024 08:42,Student,Less than 1 year,Never,Rarely,Maybe,Rarely,Maybe,Click on links within the email to see where they lead,Maybe,Rarely,"Yes, sometimes","Yes, once","Yes, very aware",Partially understand,Somewhat familiar,"Yes, basic plans in place",Annually,Somewhat confident,Maybe,"Yes, one incident",Rarely,Using secure and password-protected networks for accessing and transferring NGS data.,Maybe,Somewhat confident,"Varied Awareness: Awareness and practices regarding cybersecurity vary significantly between departments or teams. Some areas of the organization may prioritize it highly, while others do not.",Neutral,Lack of management support or prioritization,Maybe,Maybe,Maybe,"No, rarely or never","Yes, occasionally",Rarely,Maybe,Unsure,may be,Rarely,Meetings or briefings,18-24,Maybe
05/02/2024 08:59,Student,Less than 1 year,Never,Occasionally,No,Never,Yes,Ignore the email but leave it in the inbox,Maybe,Never,"No, rarely or never","No, never","Yes, very aware",Partially understand,"No, not familiar","Yes, basic plans in place",Annually,Somewhat unconfident,No,"Yes, one incident",Never,I do not consider any above practice,Maybe,Very unconfident,"Varied Awareness: Awareness and practices regarding cybersecurity vary significantly between departments or teams. Some areas of the organization may prioritize it highly, while others do not.",Neutral,Lack of management support or prioritization,No,Maybe,Yes,"No, rarely or never","Yes, occasionally",Rarely,Maybe,Yes,Yes,Never,Never discussed,18-24,Maybe
05/02/2024 09:04,IT/Cybersecurity Specialist,Less than 1 year,Monthly,Very frequently,Yes,sometimes,Yes,Download and open attachments to determine their relevance,Yes,Once per day,"Yes, sometimes","Yes, once","Yes, very aware",Partially understand,"Yes, very familiar","No, plans not implemented",Quarterly,Very confident,Yes,"Yes, one incident","Occasionally (e.g., once a year)",Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.,Yes,Somewhat confident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Insufficiently tailored content to specific roles or departments,No,No,Maybe,"No, rarely or never","No, not collaborated",Never,Maybe,Unsure,unsure,Rarely,Never discussed,18-24,Yes
05/02/2024 10:05,Student,Less than 1 year,Never,Frequently,Maybe,Never,No,Ignore the email but leave it in the inbox,Yes,Rarely,"Yes, always","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Never,Very unconfident,Maybe,"No, never experienced",Rarely,I do not consider any above practice,Maybe,Very unconfident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Lack of management support or prioritization,Maybe,Maybe,Yes,"No, rarely or never","No, not collaborated",Never,Yes,Unsure,may be,Rarely,Never discussed,18-24,Yes
05/02/2024 10:14,Student,3-5 years,Daily,Very frequently,Yes,Always,No,"Delete the email without opening it, Ignore the email but leave it in the inbox",Yes,Multiple times per day,"Yes, always","No, never","Yes, very aware","Yes, fully understand","Yes, very familiar","Yes, basic plans in place",Bi-annually,Somewhat confident,Yes,"No, never experienced","Occasionally (e.g., once a year)","Encrypting NGS data files before transferring them to external devices or networks., Using secure and password-protected networks for accessing and transferring NGS data.",Yes,Very confident,"Generally Aware: Most employees are aware of the importance of cybersecurity. There are some policies and training in place, and while not all practices are perfectly followed, there's a concerted effort to maintain security.",Neutral,Training not perceived as relevant or important by employees,No,Yes,Yes,"No, rarely or never","Yes, occasionally",Frequently,Yes,Unsure,Yes,Frequently,Training sessions,18-24,Yes
05/02/2024 12:05,Student,Less than 1 year,Never,Rarely,No,Never,Yes,Delete the email without opening it,No,Rarely,"Yes, sometimes","No, never","Yes, very aware",Partially understand,Somewhat familiar,"No, plans not implemented",Never,Somewhat unconfident,Maybe,"No, never experienced",Rarely,Avoiding the use of personal email accounts or unsecured communication channels for sharing NGS data.,No,Somewhat unconfident,"Strongly Proactive: Cybersecurity is a top priority for everyone, from leadership to entry-level employees. Regular training, clear communication, and effective policies are in place, actively preventing cybersecurity incidents.",Neutral,Lack of management support or prioritization,No,No,Yes,"No, rarely or never","No, not collaborated",Rarely,No,Yes,No,Frequently,Training sessions,25-34,Yes
5/20/2024 8:38:38,Student,Less than 1 year,Never,Never,No,Never,No,Ignore the email but leave it in the inbox,No,Rarely,"No, rarely or never","No, never","Yes, very aware",Partially understand,"No, not familiar","No, plans not implemented",Annually,Somewhat confident,Maybe,"No, never experienced",Rarely,Using secure and password-protected networks for accessing and transferring NGS data.,No,Somewhat confident,"Reactive: Cybersecurity becomes a priority only after an incident has occurred. While there are some guidelines, they are not thoroughly enforced or followed until a problem arises.",Neutral,Lack of time or resources,Maybe,Maybe,Yes,"No, rarely or never","No, not collaborated",Rarely,Yes,Unsure,No,Rarely,Email alerts,18-24,Yes
